StoreNo,IDX,days,mean_daily_sales,median_daily_sales,positive_sales_days,zero_sales_days,positive_day_share,zero_day_share,rotation_group
R195,381751.0,549,0.8870673952641166,0.0,258,291,0.46994535519125685,0.5300546448087432,low
R195,382319.0,496,2.002016129032258,1.0,291,205,0.5866935483870968,0.41330645161290325,high
R195,386156.0,513,1.8011695906432748,1.0,338,175,0.6588693957115009,0.341130604288499,high
R195,386256.0,566,0.8374558303886925,0.0,273,293,0.4823321554770318,0.5176678445229682,low
R195,386263.0,521,1.654510556621881,1.0,328,193,0.6295585412667947,0.3704414587332054,high
R195,386854.0,558,1.7706093189964158,1.0,363,195,0.6505376344086021,0.34946236559139787,high
R195,386855.0,517,5.203094777562863,5.0,418,99,0.8085106382978723,0.19148936170212766,high
R195,387034.0,462,4.694805194805195,3.0,345,117,0.7467532467532467,0.2532467532467532,high
R195,389581.0,522,1.4425287356321839,1.0,317,205,0.60727969348659,0.39272030651340994,medium
R195,389582.0,461,1.3947939262472886,1.0,268,193,0.5813449023861171,0.41865509761388287,medium
R195,390552.0,498,1.3072289156626506,0.0,244,254,0.4899598393574297,0.5100401606425703,medium
R195,390553.0,495,1.6020202020202021,1.0,251,244,0.5070707070707071,0.49292929292929294,medium
R195,390554.0,416,1.7019230769230769,1.0,225,191,0.5408653846153846,0.45913461538461536,high
R195,390581.0,510,2.364705882352941,1.0,268,242,0.5254901960784314,0.4745098039215686,high
R195,390681.0,552,2.746376811594203,1.0,375,177,0.6793478260869565,0.32065217391304346,high
R195,401460.0,562,1.3469750889679715,0.0,266,296,0.47330960854092524,0.5266903914590747,medium
R195,406393.0,563,35.92717584369449,38.0,455,108,0.8081705150976909,0.19182948490230906,high
R195,406427.0,548,10.961678832116789,4.0,358,190,0.6532846715328468,0.3467153284671533,high
R195,407012.0,496,1.092741935483871,1.0,275,221,0.5544354838709677,0.44556451612903225,low
R195,410264.0,542,3.4022140221402215,3.0,413,129,0.7619926199261993,0.23800738007380073,high
R195,410300.0,515,2.9106796116504854,2.0,389,126,0.7553398058252427,0.2446601941747573,high
R195,411820.0,552,0.8097826086956522,0.0,254,298,0.4601449275362319,0.5398550724637681,low
R195,411823.0,512,1.17578125,1.0,297,215,0.580078125,0.419921875,medium
R195,412973.0,410,0.9658536585365853,0.0,198,212,0.48292682926829267,0.5170731707317073,low
R195,412998.0,537,0.9180633147113594,0.0,252,285,0.4692737430167598,0.5307262569832403,low
R195,413041.0,466,1.9184549356223175,1.0,267,199,0.572961373390558,0.4270386266094421,high
R195,413999.0,540,1.0777777777777777,0.0,269,271,0.4981481481481482,0.5018518518518519,low
R195,414000.0,503,1.4055666003976144,1.0,279,224,0.5546719681908548,0.44532803180914515,medium
R195,414013.0,504,1.4563492063492063,1.0,301,203,0.5972222222222222,0.4027777777777778,medium
R195,415038.0,411,1.391727493917275,1.0,276,135,0.6715328467153284,0.3284671532846715,medium
R195,424295.0,490,0.7020408163265306,0.0,205,285,0.41836734693877553,0.5816326530612245,low
R195,425535.0,543,2.0644567219152856,1.0,319,224,0.5874769797421732,0.4125230202578269,high
R195,425536.0,520,1.7192307692307693,1.0,287,233,0.551923076923077,0.4480769230769231,high
R195,425538.0,559,2.2271914132379247,1.0,342,217,0.6118067978533095,0.3881932021466905,high
R195,425539.0,511,2.152641878669276,1.0,295,216,0.5772994129158513,0.4227005870841487,high
R195,425540.0,535,1.4074766355140187,0.0,261,274,0.48785046728971965,0.5121495327102804,medium
R195,434361.0,564,5.73936170212766,1.0,306,258,0.5425531914893617,0.4574468085106383,high
R433,213703.0,564,0.9663120567375887,0.0,272,292,0.48226950354609927,0.5177304964539007,low
R433,213734.0,566,1.3498233215547704,1.0,325,241,0.5742049469964664,0.42579505300353354,medium
R433,213747.0,560,1.0392857142857144,1.0,281,279,0.5017857142857143,0.4982142857142857,low
R433,214459.0,564,1.9680851063829787,1.0,344,220,0.6099290780141844,0.3900709219858156,high
R433,214460.0,564,1.0868794326241136,1.0,289,275,0.5124113475177305,0.4875886524822695,low
R433,214462.0,566,1.7720848056537102,1.0,354,212,0.6254416961130742,0.3745583038869258,high
R433,214472.0,566,0.8992932862190812,0.0,274,292,0.4840989399293286,0.5159010600706714,low
R433,214475.0,568,0.7676056338028169,0.0,269,299,0.4735915492957746,0.5264084507042254,low
R433,215088.0,568,1.0404929577464788,0.0,270,298,0.4753521126760563,0.5246478873239436,low
R433,215283.0,547,1.7879341864716636,1.0,355,192,0.6489945155393053,0.3510054844606947,high
R433,215321.0,568,2.209507042253521,2.0,410,158,0.721830985915493,0.27816901408450706,high
R433,217497.0,566,0.991166077738516,0.0,279,287,0.4929328621908127,0.5070671378091873,low
R433,217527.0,568,0.9788732394366197,1.0,291,277,0.5123239436619719,0.4876760563380282,low
R433,217838.0,549,1.0728597449908925,1.0,283,266,0.5154826958105647,0.48451730418943534,low
R433,217935.0,566,1.5812720848056536,1.0,336,230,0.5936395759717314,0.40636042402826855,medium
R433,217939.0,512,1.330078125,1.0,288,224,0.5625,0.4375,medium
R433,217947.0,566,0.8780918727915195,0.0,274,292,0.4840989399293286,0.5159010600706714,low
R433,217962.0,564,1.2109929078014185,1.0,300,264,0.5319148936170213,0.46808510638297873,medium
R433,218579.0,568,5.264084507042254,4.0,453,115,0.7975352112676056,0.20246478873239437,high
R433,218580.0,566,1.3904593639575973,1.0,347,219,0.6130742049469965,0.3869257950530035,medium
R433,226732.0,564,1.150709219858156,0.0,267,297,0.4734042553191489,0.526595744680851,low
R433,229585.0,564,1.8421985815602837,1.0,326,238,0.5780141843971631,0.4219858156028369,high
R433,232074.0,530,1.4018867924528302,1.0,287,243,0.5415094339622641,0.45849056603773586,medium
R433,232456.0,524,1.452290076335878,1.0,304,220,0.5801526717557252,0.4198473282442748,medium
R433,232715.0,542,1.5461254612546125,1.0,306,236,0.5645756457564576,0.4354243542435424,medium
R433,235066.0,546,1.1245421245421245,1.0,294,252,0.5384615384615384,0.46153846153846156,low
R433,235669.0,566,1.0742049469964665,0.0,267,299,0.4717314487632509,0.5282685512367491,low
R433,235939.0,568,5.061619718309859,4.0,430,138,0.7570422535211268,0.24295774647887325,high
R433,238929.0,566,0.8604240282685512,0.0,271,295,0.4787985865724382,0.5212014134275619,low
R433,241831.0,500,1.266,1.0,255,245,0.51,0.49,medium
R433,243838.0,544,1.3419117647058822,1.0,315,229,0.5790441176470589,0.4209558823529412,medium
R433,246209.0,520,1.3442307692307693,1.0,287,233,0.551923076923077,0.4480769230769231,medium
R433,246211.0,568,1.9507042253521127,1.0,394,174,0.6936619718309859,0.30633802816901406,high
R433,247674.0,566,1.0,1.0,288,278,0.508833922261484,0.4911660777385159,low
R433,248187.0,558,3.652329749103943,1.0,295,263,0.5286738351254481,0.471326164874552,high
R433,248905.0,518,1.057915057915058,1.0,269,249,0.5193050193050193,0.4806949806949807,low
R433,248956.0,568,1.0369718309859155,0.0,273,295,0.48063380281690143,0.5193661971830986,low
R433,250020.0,516,1.308139534883721,1.0,283,233,0.5484496124031008,0.45155038759689925,medium
R433,250021.0,498,1.8815261044176708,1.0,277,221,0.5562248995983936,0.44377510040160645,high
R433,250532.0,562,0.8612099644128114,0.0,264,298,0.4697508896797153,0.5302491103202847,low
R433,253332.0,528,1.2196969696969697,0.0,243,285,0.4602272727272727,0.5397727272727273,medium
