feature,importance
categorical__IDX_242152.0,0.00015334597
categorical__Brand_NIVEA,0.00014990063
categorical__Brand_RESIBO,0.00014426289
categorical__Brand_LADY SPEED STICK,0.00013139336
categorical__IDX_324391.0,0.00011607277
categorical__IDX_228322.0,0.00010703396
categorical__IDX_414014.0,8.5510255e-05
categorical__IDX_414000.0,7.416633e-05
categorical__Brand_AIRWAVES,5.929411e-05
categorical__IDX_290702.0,5.9249534e-05
categorical__IDX_413999.0,4.8363687e-05
categorical__DIV2_81107.0,3.1088435e-05
categorical__Brand_NATURELLA,1.56182e-05
categorical__IDX_411823.0,1.132698e-05
categorical__Brand_BASICLAB,3.9811357e-06
categorical__IDX_238929.0,3.0126937e-06
categorical__IDX_412239.0,1.0202561e-06
categorical__IDX_248956.0,6.936543e-08
categorical__IDX_259448.0,0.0
categorical__IDX_248905.0,0.0
categorical__IDX_250532.0,0.0
categorical__IDX_294312.0,0.0
categorical__IDX_283627.0,0.0
categorical__IDX_280419.0,0.0
categorical__IDX_269497.0,0.0
categorical__IDX_261615.0,0.0
categorical__IDX_241150.0,0.0
categorical__Brand_KALLOS,0.0
categorical__IDX_243624.0,0.0
categorical__IDX_243838.0,0.0
categorical__IDX_256036.0,0.0
categorical__IDX_250019.0,0.0
categorical__IDX_253332.0,0.0
categorical__IDX_412973.0,0.0
categorical__IDX_428152.0,0.0
categorical__Brand_BIC,0.0
categorical__Brand_TARCZYN,0.0
categorical__IDX_237487.0,0.0
categorical__IDX_235669.0,0.0
categorical__IDX_232471.0,0.0
categorical__IDX_240358.0,0.0
categorical__IDX_241831.0,0.0
categorical__IDX_230392.0,0.0
categorical__IDX_224139.0,0.0
categorical__Brand_ORBIT,0.0
categorical__IDX_217964.0,0.0
categorical__IDX_217492.0,0.0
categorical__IDX_217527.0,0.0
categorical__IDX_217939.0,0.0
categorical__IDX_357851.0,0.0
categorical__IDX_357574.0,0.0
categorical__IDX_363873.0,0.0
categorical__IDX_304624.0,0.0
categorical__IDX_305485.0,0.0
categorical__IDX_304626.0,0.0
categorical__IDX_305297.0,0.0
categorical__IDX_305484.0,0.0
categorical__IDX_308881.0,0.0
categorical__IDX_307488.0,0.0
categorical__IDX_306627.0,0.0
categorical__IDX_310270.0,0.0
categorical__IDX_301209.0,0.0
categorical__IDX_381697.0,0.0
categorical__IDX_215088.0,0.0
categorical__IDX_214475.0,0.0
categorical__IDX_214472.0,0.0
categorical__IDX_379140.0,0.0
categorical__Brand_EWA SCHMITT,0.0
categorical__IDX_377288.0,0.0
categorical__IDX_373537.0,0.0
categorical__IDX_214479.0,0.0
categorical__IDX_381748.0,0.0
categorical__Brand_TISANE,0.0
categorical__IDX_401480.0,0.0
categorical__IDX_389582.0,0.0
categorical__IDX_389581.0,0.0
categorical__IDX_414634.0,0.0
